village_id,village_name,district,state,latitude,longitude,area_sq_km,avg_solar_irradiance_kwh_m2_day,annual_sun_hours,seasonal_solar_variation_percent,avg_temperature_c,rainfall_mm_year,cloud_cover_percent,population,households,estimated_annual_electricity_demand_kwh,agricultural_demand_kwh,public_facility_demand_kwh,grid_connected,grid_reliability_percent,avg_daily_power_hours,outage_hours_month,distance_to_grid_km,existing_solar_capacity_kw,existing_solar_project,solar_pumps_count,existing_solar_generation_kwh_year,recommended_capacity_kw,installation_cost_inr,maintenance_cost_inr_year,panel_efficiency_percent,system_efficiency_percent,expected_annual_generation_kwh,electricity_value_inr_kwh,degradation_rate_percent,project_lifetime_years,priority_score
V21930,Village_1930,District_30,Telangana,15.842881,93.4207,5.51,5.29,3049.0,10.02,22.67,629.0,32.18,31857,7279,16396403.0,3016225.0,844044.0,True,93.55,9.63,12.67,6.36,104.59,False,0,130978.0,1000.0,70653121.0,1880376.0,17.13,86.92,1437460.0,4.59,0.99,23,55.76
V21931,Village_1931,District_12,Karnataka,29.305119,85.828757,45.64,5.69,2859.0,26.04,29.44,260.0,49.78,24519,5263,8081307.0,3346934.0,761640.0,True,86.29,9.97,21.83,4.4,122.0,False,3,146438.0,1000.0,53603846.0,1186364.0,17.16,86.55,1542267.0,7.54,0.68,22,61.56
V21932,Village_1932,District_22,Rajasthan,34.092445,68.871096,8.96,5.07,2655.0,13.51,24.68,1003.0,32.2,33276,6078,20681287.0,9596057.0,2453983.0,True,91.16,10.33,73.29,12.13,60.74,True,19,74410.0,1000.0,64644482.0,2488693.0,18.25,76.27,1287916.0,6.71,0.58,20,54.91
V21933,Village_1933,District_24,Andhra Pradesh,32.906334,77.498885,11.08,6.05,3032.0,12.69,33.13,402.0,29.56,19286,4166,6400540.0,2995622.0,298085.0,True,97.53,22.76,66.71,1.35,6.58,False,12,8131.0,1000.0,60300044.0,1336290.0,20.27,75.3,1685260.0,5.09,0.8,23,61.4
V21934,Village_1934,District_16,Maharashtra,12.1042,72.142454,46.06,4.94,2930.0,19.84,25.22,875.0,24.45,9158,2261,5099896.0,2558079.0,502206.0,True,75.79,10.09,67.54,1.96,102.85,False,17,124124.0,1000.0,52496649.0,1306243.0,16.09,91.45,1326568.0,4.62,0.54,22,53.25
V21935,Village_1935,District_13,Bihar,13.604206,86.331262,57.49,6.2,3075.0,31.35,25.47,1146.0,31.89,8553,1942,3152643.0,1218910.0,208262.0,False,0.0,8.55,148.98,19.41,94.07,True,18,121858.0,1000.0,70197102.0,1065843.0,21.24,84.58,2032716.0,8.51,0.34,24,84.8
V21936,Village_1936,District_5,Karnataka,25.944325,94.633614,44.09,5.27,2800.0,27.69,20.87,1424.0,30.61,25588,5963,10590796.0,3505297.0,985429.0,True,72.01,15.36,29.49,2.02,90.18,False,7,126863.0,1000.0,48438792.0,854514.0,23.7,83.31,1898974.0,8.71,0.33,21,62.69
V21937,Village_1937,District_22,Bihar,22.089284,91.165082,38.78,5.55,2478.0,26.12,26.87,1587.0,42.72,24010,4507,15663498.0,3853993.0,735766.0,True,95.02,13.18,64.88,6.93,62.9,True,16,102806.0,1000.0,74779460.0,839466.0,20.69,81.23,1702287.0,5.76,0.79,23,57.56
V21938,Village_1938,District_28,Bihar,11.152384,85.631732,6.81,5.54,2384.0,15.57,25.35,831.0,53.94,1596,337,553963.0,110912.0,33506.0,True,71.51,10.86,16.72,0.51,147.62,True,12,183491.0,355.84,20986803.0,642142.0,20.85,86.83,651333.0,8.14,0.78,21,46.01
V21939,Village_1939,District_12,Telangana,34.218516,86.329991,37.76,4.63,2754.0,7.93,24.17,1395.0,35.81,26436,5033,8865365.0,1742828.0,280233.0,True,78.75,14.42,21.51,8.34,87.12,True,5,120965.0,1000.0,58088617.0,1619695.0,20.63,83.09,1448411.0,7.3,0.39,21,53.35
V21940,Village_1940,District_12,Tamil Nadu,30.705008,92.883354,54.17,5.26,2234.0,18.99,30.64,708.0,55.4,40386,8222,17417643.0,5469131.0,1126368.0,True,85.77,23.4,71.21,13.16,16.03,False,18,23640.0,1000.0,64152441.0,1205334.0,17.0,75.91,1238787.0,5.55,0.6,25,58.42
V21941,Village_1941,District_6,Karnataka,22.436489,78.528906,6.58,6.22,2837.0,11.82,30.08,896.0,20.98,6614,1522,2789416.0,1119028.0,178476.0,True,76.86,19.38,22.35,1.4,94.43,False,18,152476.0,1000.0,71475057.0,1052317.0,17.43,87.73,1735796.0,6.48,0.8,20,63.67
V21942,Village_1942,District_10,Madhya Pradesh,34.744456,76.639391,19.07,4.42,2726.0,5.81,23.91,304.0,35.48,35073,7297,12566250.0,3506453.0,777619.0,True,78.98,12.67,21.21,14.82,96.45,False,13,162353.0,1000.0,68028149.0,1929362.0,19.96,85.62,1378545.0,5.55,0.76,24,51.38
V21943,Village_1943,District_19,Maharashtra,32.546936,87.001431,26.74,4.31,2356.0,23.41,21.38,801.0,42.04,22316,4825,9728833.0,2397236.0,795772.0,True,78.63,16.55,78.77,8.67,13.75,False,3,24359.0,1000.0,58781818.0,1076727.0,23.95,87.18,1642338.0,7.83,0.34,21,50.65
V21944,Village_1944,District_24,Madhya Pradesh,12.663209,82.58621,27.34,6.24,2485.0,5.02,22.93,754.0,12.35,32047,6225,10850145.0,3136972.0,756915.0,True,85.36,21.82,68.25,7.37,81.95,False,0,137495.0,1000.0,52487601.0,1766315.0,21.2,75.47,1822039.0,5.12,0.98,22,67.52
V21945,Village_1945,District_29,Bihar,34.430267,92.991365,59.64,5.69,3217.0,6.59,26.39,269.0,46.44,21018,4281,13097663.0,5123464.0,872976.0,False,0.0,6.94,179.37,27.18,88.33,True,6,123385.0,1000.0,60739555.0,2097476.0,20.37,91.78,1941396.0,8.56,0.83,20,83.55
V21946,Village_1946,District_25,Uttar Pradesh,15.988024,81.353483,42.11,6.32,3190.0,27.58,20.45,1582.0,29.99,39807,7827,16408684.0,2484365.0,1126789.0,True,97.74,23.49,66.61,10.39,149.17,True,19,206015.0,1000.0,69715131.0,779981.0,20.37,78.02,1833061.0,5.36,0.5,21,65.43
V21947,Village_1947,District_16,Gujarat,19.721799,90.606445,48.45,4.97,2850.0,22.24,18.01,119.0,59.77,39389,10679,19172727.0,10078228.0,1065194.0,True,81.93,20.77,61.64,3.63,8.42,False,18,13356.0,1000.0,59202388.0,1376135.0,20.59,84.9,1585562.0,4.98,0.63,25,56.83
V21948,Village_1948,District_1,Andhra Pradesh,29.094527,78.61652,12.83,5.21,2219.0,34.53,25.14,735.0,27.08,22837,4155,7861885.0,2844591.0,443115.0,True,83.54,22.23,50.66,4.42,136.86,True,3,224641.0,1000.0,66288698.0,1905389.0,21.13,84.9,1705720.0,8.56,0.58,25,57.14
V21949,Village_1949,District_6,Telangana,9.466342,75.813329,9.51,5.82,2312.0,7.34,23.86,1020.0,13.33,36136,7004,19583983.0,5804358.0,1868088.0,True,89.97,11.41,24.74,7.67,105.16,False,2,164147.0,1000.0,47792898.0,928587.0,18.25,86.58,1678287.0,5.31,0.43,21,62.94
V21950,Village_1950,District_17,Tamil Nadu,33.527268,71.863719,8.54,4.33,2454.0,11.95,28.05,1446.0,25.15,39373,8071,23014251.0,8080778.0,1160593.0,True,99.24,9.5,36.81,2.6,35.09,False,10,51160.0,1000.0,63709883.0,1599620.0,21.57,90.57,1543780.0,8.29,0.78,22,47.01
V21951,Village_1951,District_19,Maharashtra,29.977825,72.328653,1.94,6.33,3201.0,26.06,24.61,1452.0,40.16,33819,8189,21398868.0,4925141.0,696072.0,False,0.0,3.37,231.69,15.21,68.84,False,8,86836.0,1000.0,68254543.0,2045753.0,23.91,85.01,2348098.0,8.29,0.61,24,91.21
V21952,Village_1952,District_11,Telangana,34.184159,82.515172,4.18,5.54,2335.0,5.22,27.08,968.0,25.17,44089,8100,27554656.0,6773046.0,3282788.0,True,86.22,20.8,16.4,8.73,38.95,False,16,57487.0,1000.0,63523858.0,1025222.0,18.57,79.84,1499012.0,7.33,0.55,24,61.83
V21953,Village_1953,District_18,Tamil Nadu,32.986148,80.116549,23.48,6.16,3078.0,18.71,29.41,163.0,54.85,34673,6730,14864024.0,5019808.0,1425547.0,True,65.46,11.28,51.96,9.9,8.02,False,16,14372.0,1000.0,62476497.0,2025608.0,16.04,81.34,1466737.0,7.04,0.72,22,72.23
V21954,Village_1954,District_30,Tamil Nadu,15.793345,73.658011,11.46,4.65,3224.0,16.55,22.45,1152.0,59.45,38747,7534,20396299.0,4313851.0,1018343.0,True,73.69,23.64,38.3,10.61,41.39,True,16,50344.0,1000.0,55684191.0,1621777.0,19.85,87.4,1472271.0,5.65,0.49,25,55.88
V21955,Village_1955,District_23,Karnataka,18.919882,89.467091,2.01,4.38,3009.0,29.59,32.96,1740.0,29.36,11885,2216,5286193.0,1680111.0,437044.0,True,97.53,11.86,63.42,7.94,75.3,False,7,118499.0,1000.0,67737850.0,1757966.0,23.92,83.49,1596367.0,4.95,0.78,23,43.23
V21956,Village_1956,District_10,Bihar,20.259789,95.629611,23.17,4.87,2594.0,5.42,19.14,652.0,51.84,28704,7696,11791122.0,6033633.0,1282321.0,True,75.94,22.12,71.97,8.57,68.73,False,2,107558.0,1000.0,59642630.0,1757331.0,23.71,85.13,1793932.0,7.28,0.5,21,57.07
V21957,Village_1957,District_30,Andhra Pradesh,8.064742,78.033224,11.75,6.04,2402.0,7.85,19.79,130.0,38.07,6150,1311,3104236.0,637959.0,265230.0,False,0.0,10.73,82.2,18.86,144.65,True,4,189619.0,1000.0,46136063.0,1392836.0,16.05,83.88,1483998.0,7.9,0.81,24,81.67
V21958,Village_1958,District_10,Bihar,26.567482,95.058281,22.85,6.11,2772.0,15.02,31.27,456.0,56.48,25195,5508,14856752.0,4618564.0,619287.0,True,67.61,23.64,75.98,13.93,115.3,False,8,177030.0,1000.0,62917550.0,1003952.0,21.18,84.78,2002274.0,6.89,0.97,24,70.55
V21959,Village_1959,District_5,Gujarat,8.022022,81.386759,58.65,4.87,3071.0,21.72,21.01,1209.0,50.39,2565,608,1644498.0,754783.0,168369.0,True,91.49,17.44,22.12,14.58,62.38,True,5,75651.0,1000.0,71541524.0,1139800.0,18.42,83.05,1359631.0,5.57,0.35,22,44.45
V21960,Village_1960,District_20,Uttar Pradesh,15.991378,94.999085,39.04,5.23,2531.0,27.71,30.42,1182.0,20.01,11435,2228,6104823.0,1095571.0,408429.0,True,88.48,10.29,53.82,6.87,104.44,False,12,151780.0,1000.0,72875204.0,2028171.0,23.35,88.5,1972399.0,8.86,0.58,25,54.6
V21961,Village_1961,District_22,Rajasthan,20.273992,87.310147,28.43,5.09,2323.0,30.72,25.81,502.0,30.03,13155,3367,4678927.0,1622846.0,504157.0,False,0.0,4.31,176.27,9.14,15.51,True,10,20630.0,1000.0,49141149.0,1695417.0,16.63,75.23,1162155.0,8.73,0.96,24,76.13
V21962,Village_1962,District_28,Telangana,12.926888,69.370655,42.6,5.42,2778.0,29.8,32.75,1235.0,33.06,4475,1084,2799501.0,566157.0,196153.0,True,77.26,16.54,29.3,2.91,140.89,False,10,238162.0,1000.0,56737223.0,675982.0,21.86,80.11,1732204.0,6.44,0.48,21,54.25
V21963,Village_1963,District_3,Andhra Pradesh,29.347217,71.5727,24.03,4.67,3130.0,11.07,24.62,614.0,17.83,24806,6275,13373695.0,7027325.0,787232.0,True,68.73,23.58,44.5,8.44,76.34,False,12,114757.0,1000.0,55128293.0,1680069.0,16.9,78.3,1127790.0,7.79,0.62,21,56.02
V21964,Village_1964,District_20,Gujarat,23.33726,87.773519,10.15,5.31,2696.0,7.19,29.23,432.0,22.85,3522,934,2194863.0,1016143.0,176596.0,True,89.26,20.37,59.17,0.39,34.55,True,6,43948.0,1000.0,52678284.0,1635420.0,20.66,81.19,1625512.0,5.6,0.83,21,51.58
V21965,Village_1965,District_29,Tamil Nadu,23.546801,74.070759,24.07,6.3,2938.0,27.37,20.84,1506.0,31.47,7576,1593,3528154.0,1535577.0,390429.0,True,86.07,17.63,61.08,14.44,68.71,False,19,99863.0,1000.0,69526899.0,2014794.0,18.26,80.22,1684174.0,4.58,0.33,24,62.93
V21966,Village_1966,District_17,Telangana,24.686573,94.529514,20.68,4.92,2654.0,28.83,26.65,1221.0,15.69,10556,2258,6796285.0,2334514.0,504670.0,False,0.0,2.24,155.75,16.94,112.06,False,15,200731.0,1000.0,48695716.0,1873237.0,21.39,79.0,1517280.0,5.56,0.33,22,72.73
V21967,Village_1967,District_26,Maharashtra,21.396267,86.599965,49.31,4.3,3061.0,19.47,30.79,1705.0,28.07,40762,9976,14378088.0,6689603.0,944492.0,False,0.0,9.17,172.67,29.56,119.88,False,8,151687.0,1000.0,50968280.0,1949675.0,17.05,83.34,1115088.0,6.56,0.44,23,70.75
V21968,Village_1968,District_4,Andhra Pradesh,24.38676,83.98297,43.32,6.09,3288.0,8.97,28.31,466.0,41.31,34380,8411,16560443.0,5890893.0,1930333.0,True,67.47,14.73,30.8,13.7,135.01,True,16,201955.0,1000.0,46773558.0,1784427.0,18.38,77.14,1575815.0,4.7,0.57,21,70.57
V21969,Village_1969,District_1,Gujarat,24.745128,96.265272,11.95,4.39,2216.0,15.59,34.75,788.0,54.72,30961,8312,15091136.0,3302138.0,1052419.0,True,96.9,10.93,16.51,5.14,53.64,False,12,89705.0,1000.0,54632735.0,1969633.0,22.87,76.34,1398768.0,5.8,0.67,25,46.87
V21970,Village_1970,District_8,Maharashtra,13.853459,84.563594,28.04,4.94,3006.0,5.12,32.17,810.0,52.68,19762,3986,6980057.0,1066640.0,612080.0,True,89.82,13.43,51.7,5.59,100.35,False,7,120952.0,1000.0,63408125.0,1901107.0,16.29,83.37,1224393.0,6.66,0.44,20,52.12
V21971,Village_1971,District_28,Madhya Pradesh,11.784908,91.406031,39.63,5.81,2236.0,28.29,18.23,374.0,51.04,13542,3543,4533309.0,1198583.0,174651.0,False,0.0,10.71,100.43,14.6,71.83,True,4,120124.0,1000.0,70570341.0,1858218.0,18.35,82.38,1602865.0,7.8,0.73,23,82.02
V21972,Village_1972,District_24,Telangana,19.748141,73.915011,46.27,4.71,2222.0,23.59,28.63,1205.0,15.38,33316,6905,18977264.0,5466392.0,1516954.0,True,91.7,11.91,27.01,4.06,100.26,False,14,147321.0,1000.0,48887916.0,1139797.0,23.61,78.19,1586832.0,7.14,0.31,22,52.18
V21973,Village_1973,District_23,Bihar,32.564651,79.613814,40.78,5.29,2707.0,17.14,19.46,988.0,15.9,41853,10993,13818903.0,5935400.0,948157.0,True,72.26,14.11,74.09,9.32,42.82,False,8,51670.0,1000.0,63091867.0,2041504.0,23.08,75.5,1682292.0,5.19,0.58,22,62.38
V21974,Village_1974,District_5,Rajasthan,34.659987,82.074468,29.28,5.87,2512.0,34.81,29.08,1096.0,56.49,17472,3204,5883626.0,2679490.0,420896.0,True,98.4,21.13,27.71,0.3,59.24,True,9,79426.0,1000.0,56851066.0,805381.0,16.44,76.84,1353288.0,6.09,0.8,22,58.82
V21975,Village_1975,District_29,Karnataka,33.499637,81.587427,26.41,4.77,2257.0,31.87,18.32,253.0,50.3,41483,9194,21892151.0,4317446.0,736523.0,True,82.75,11.6,62.91,3.67,118.84,False,10,199945.0,1000.0,54463903.0,1377924.0,20.8,86.22,1561179.0,6.15,0.44,24,54.97
V21976,Village_1976,District_29,Maharashtra,34.483989,77.094687,28.96,6.12,2292.0,30.03,31.4,231.0,48.59,25773,4760,11108305.0,3195070.0,776711.0,True,65.78,19.84,4.64,10.15,64.7,False,0,94278.0,1000.0,67495826.0,1775660.0,19.13,82.93,1771907.0,7.2,0.53,24,70.97
V21977,Village_1977,District_12,Tamil Nadu,12.953543,71.979624,23.56,4.89,3110.0,34.69,19.13,1231.0,29.07,43839,8544,21822404.0,9792462.0,2579831.0,True,82.08,22.06,50.54,11.06,101.06,True,6,154019.0,1000.0,70406213.0,2297995.0,16.68,87.27,1299071.0,5.9,0.72,22,55.84
V21978,Village_1978,District_29,Rajasthan,12.633403,90.701421,11.05,6.07,2942.0,20.87,20.83,1675.0,18.21,1924,543,902354.0,307628.0,98992.0,True,84.56,16.06,48.14,6.18,118.27,False,6,164999.0,569.25,40754598.0,435552.0,21.85,91.47,1260331.0,6.05,0.82,24,52.88
V21979,Village_1979,District_8,Gujarat,19.796315,77.1442,13.21,5.31,2568.0,14.7,31.12,741.0,35.58,28394,6591,17411564.0,8467792.0,802722.0,True,73.5,21.18,1.11,10.42,45.54,False,18,63541.0,1000.0,70998482.0,2817307.0,22.69,90.3,1985545.0,6.85,0.81,24,61.75
V21980,Village_1980,District_20,Tamil Nadu,29.07104,82.177108,40.07,5.57,2788.0,27.06,19.86,897.0,29.19,34423,6445,14967101.0,4359479.0,1290310.0,False,0.0,9.37,219.74,22.56,43.15,False,2,54241.0,1000.0,72104498.0,2331575.0,20.29,84.24,1737475.0,8.25,0.44,22,83.19
V21981,Village_1981,District_16,Rajasthan,10.618754,75.510604,3.12,6.09,2466.0,7.42,19.68,665.0,57.53,38435,9882,23098771.0,8936913.0,1040065.0,True,75.81,13.43,62.5,11.87,115.23,False,7,140840.0,1000.0,70365844.0,1507426.0,18.18,79.24,1601100.0,5.33,0.58,25,68.65
V21982,Village_1982,District_10,Gujarat,27.48218,74.141848,51.23,5.71,2597.0,17.43,25.81,1603.0,29.51,5691,1547,2782658.0,766879.0,243978.0,True,74.85,10.38,3.46,8.18,14.67,True,18,21354.0,1000.0,45644788.0,1298783.0,21.75,78.24,1773320.0,8.8,0.35,25,62.33
V21983,Village_1983,District_7,Bihar,17.369956,93.363521,32.73,4.39,2732.0,13.08,25.02,679.0,21.71,22932,4857,9099446.0,3491783.0,881761.0,True,91.89,22.83,34.49,14.63,145.81,True,18,209261.0,1000.0,71861900.0,2529053.0,16.96,90.28,1226718.0,7.73,0.56,25,46.58
V21984,Village_1984,District_28,Gujarat,12.420246,89.293192,14.96,5.68,2330.0,18.12,19.46,1022.0,40.58,8531,1822,3592049.0,666286.0,149535.0,True,71.59,13.34,37.27,8.53,132.75,False,1,214836.0,1000.0,71021704.0,2243414.0,16.22,77.13,1296837.0,4.5,0.7,22,59.58
V21985,Village_1985,District_26,Rajasthan,32.586216,84.950977,19.67,4.69,2653.0,8.82,28.65,262.0,24.36,38694,9420,19942907.0,7673908.0,1641880.0,True,68.17,12.74,8.03,6.47,110.18,False,12,148857.0,1000.0,50594082.0,510114.0,22.85,87.26,1706621.0,6.03,0.32,21,58.03
V21986,Village_1986,District_24,Uttar Pradesh,26.464636,85.525278,37.33,5.39,2831.0,26.49,26.65,751.0,34.92,3603,823,1805520.0,319803.0,184443.0,True,92.53,13.04,2.27,1.13,72.98,False,10,106081.0,1000.0,66907899.0,2389751.0,23.58,84.53,1960678.0,8.38,0.99,21,50.92
V21987,Village_1987,District_11,Telangana,31.717625,95.621311,32.33,4.41,2310.0,24.54,26.53,676.0,58.11,36063,8249,20813256.0,9125164.0,1126801.0,True,67.06,15.77,3.46,0.61,3.2,True,12,4688.0,1000.0,69003276.0,1840540.0,23.82,83.06,1592338.0,5.22,0.48,23,54.87
V21988,Village_1988,District_23,Uttar Pradesh,11.8013,95.392665,5.64,4.45,3024.0,14.09,20.18,1406.0,37.94,781,150,272504.0,99516.0,24779.0,True,67.61,16.64,43.55,2.05,83.33,False,11,110077.0,167.0,12437887.0,128370.0,20.7,87.46,245538.0,8.89,0.68,22,31.46
V21989,Village_1989,District_29,Tamil Nadu,19.139583,82.550663,54.39,5.88,3027.0,20.6,24.93,128.0,19.61,26548,6008,16493197.0,8672557.0,554313.0,True,98.73,19.33,29.02,1.94,23.89,False,5,41880.0,1000.0,57142212.0,1010006.0,17.46,76.05,1424898.0,5.63,0.73,23,60.27
V21990,Village_1990,District_5,Uttar Pradesh,30.006011,85.945824,37.29,4.37,2673.0,11.07,19.05,1661.0,29.84,42112,8898,23265421.0,5926477.0,2414345.0,True,94.06,17.95,59.89,11.47,24.09,True,2,40878.0,1000.0,51228143.0,1458929.0,23.14,75.68,1396654.0,6.14,0.45,20,48.54
V21991,Village_1991,District_24,Maharashtra,16.238075,93.818079,16.32,5.87,2389.0,23.27,34.14,1187.0,26.09,40013,10944,15955279.0,7208706.0,1578645.0,True,88.42,18.92,72.66,13.78,37.28,True,6,61156.0,1000.0,62815397.0,2272033.0,19.15,90.54,1857421.0,7.36,0.82,21,64.5
V21992,Village_1992,District_19,Telangana,34.482964,87.434772,43.66,5.85,2892.0,5.15,19.66,426.0,36.01,38367,8419,16721133.0,7166566.0,832795.0,True,91.94,18.08,55.11,9.21,26.87,True,0,42157.0,1000.0,63355364.0,1976594.0,22.44,88.18,2112573.0,6.21,0.79,25,63.28
V21993,Village_1993,District_15,Andhra Pradesh,29.379122,71.317234,34.09,5.78,3239.0,18.17,19.62,854.0,25.18,6008,1575,2192365.0,1143535.0,129800.0,True,69.44,13.53,66.23,2.76,104.8,False,7,150360.0,1000.0,60367005.0,1844286.0,16.4,75.62,1308191.0,8.47,0.6,25,60.82
V21994,Village_1994,District_25,Maharashtra,25.714078,69.741198,53.34,4.67,2461.0,24.93,26.03,668.0,53.97,27755,7749,15720710.0,4022776.0,1495693.0,True,78.21,17.68,50.05,9.56,77.59,False,8,137726.0,1000.0,70836299.0,2498477.0,19.96,81.76,1390853.0,5.54,0.75,21,53.44
V21995,Village_1995,District_19,Tamil Nadu,27.024362,80.731663,8.33,5.95,3134.0,9.72,33.93,414.0,37.53,22996,5664,11674951.0,2419243.0,1033000.0,True,76.19,17.58,49.68,12.42,45.21,False,12,67453.0,1000.0,59181419.0,1406112.0,18.31,79.84,1587409.0,4.72,0.42,21,65.94
V21996,Village_1996,District_7,Rajasthan,32.341679,69.574177,39.96,4.68,2799.0,18.83,28.13,1067.0,56.87,40750,8203,21827357.0,3339821.0,2170427.0,True,94.29,17.26,16.37,12.28,125.11,False,9,163154.0,1000.0,52634668.0,1625626.0,22.19,86.39,1637305.0,6.83,0.82,25,51.58
V21997,Village_1997,District_21,Maharashtra,19.848749,73.696097,29.0,4.37,3214.0,8.78,18.36,743.0,58.89,11566,2170,5059075.0,1554337.0,455316.0,False,0.0,2.53,182.88,24.88,135.46,False,7,190863.0,1000.0,67832832.0,708093.0,19.38,77.04,1190733.0,8.83,0.84,23,67.31
V21998,Village_1998,District_8,Madhya Pradesh,9.256319,77.244653,5.74,5.02,2559.0,17.15,23.68,1460.0,55.8,2745,756,1630613.0,541522.0,109120.0,True,90.27,16.35,21.08,3.84,58.19,False,5,97899.0,1000.0,50669003.0,981010.0,23.96,82.72,1815783.0,7.35,0.62,25,47.42
V21999,Village_1999,District_11,Bihar,28.000607,96.396138,13.43,5.8,2266.0,30.82,31.05,1791.0,50.5,10732,2792,6683002.0,2320795.0,424803.0,True,87.08,11.4,70.25,3.58,114.71,False,18,190127.0,1000.0,51261398.0,1925204.0,21.43,80.83,1833520.0,6.43,0.5,24,59.97
V22000,Village_2000,District_14,Bihar,20.058209,69.788849,41.32,5.67,2630.0,25.78,22.7,787.0,14.14,37130,6789,17744898.0,5028115.0,1836397.0,False,0.0,10.89,195.96,3.23,58.15,False,6,91575.0,1000.0,52062802.0,2034354.0,19.59,81.94,1661026.0,5.84,0.36,24,84.15
V22001,Village_2001,District_16,Bihar,28.918925,93.620448,26.03,5.2,2956.0,10.86,30.68,280.0,40.7,11250,2849,4643140.0,1814521.0,365026.0,True,66.76,14.31,45.87,5.51,29.68,True,10,37129.0,1000.0,64151082.0,1790527.0,20.89,82.5,1635530.0,8.69,0.99,24,60.11
V22002,Village_2002,District_25,Karnataka,33.457772,76.943629,37.0,4.53,2494.0,14.47,32.52,1660.0,48.78,37833,7453,14786029.0,6146759.0,752024.0,True,94.72,10.25,46.37,6.1,146.09,False,0,210354.0,1000.0,52366236.0,1978203.0,17.18,80.23,1139518.0,8.65,0.93,20,49.37
V22003,Village_2003,District_8,Tamil Nadu,25.674212,79.520498,44.07,5.04,2559.0,30.82,34.78,192.0,11.6,7015,1503,2686512.0,1409694.0,205758.0,True,85.19,14.47,65.31,10.98,46.42,False,14,58715.0,1000.0,45904005.0,1351066.0,16.62,84.14,1286255.0,7.0,0.43,25,52.0
V22004,Village_2004,District_3,Telangana,22.690225,71.447793,54.82,5.32,2854.0,16.9,33.16,211.0,43.01,24875,6724,9350631.0,4657559.0,545852.0,True,71.78,15.0,49.82,2.66,107.08,False,11,132603.0,1000.0,70148867.0,1501275.0,23.14,79.06,1776211.0,6.0,0.91,21,61.2
V22005,Village_2005,District_21,Madhya Pradesh,10.781005,91.068498,43.83,5.58,2210.0,24.14,22.71,601.0,18.41,14587,2847,5478073.0,2467950.0,454186.0,True,82.04,15.86,40.65,13.81,73.04,False,12,123100.0,1000.0,50302841.0,635658.0,21.36,89.1,1938099.0,8.95,0.69,23,61.34
V22006,Village_2006,District_22,Telangana,34.828824,85.475159,52.81,4.69,3197.0,10.27,34.1,1603.0,53.09,29886,5496,16914400.0,8358714.0,674613.0,False,0.0,7.81,212.46,16.93,40.61,True,8,48965.0,1000.0,70415589.0,803016.0,19.91,91.34,1556568.0,7.93,0.57,23,74.27
V22007,Village_2007,District_5,Bihar,21.024893,91.479515,17.62,4.39,3016.0,23.13,34.28,821.0,40.96,13416,3666,7772716.0,1275366.0,521739.0,True,94.41,14.51,34.35,11.27,3.1,False,10,4788.0,1000.0,67121108.0,1134388.0,17.77,91.91,1308512.0,7.23,0.58,21,45.44
V22008,Village_2008,District_18,Uttar Pradesh,27.73616,77.941279,16.46,4.85,3191.0,6.92,34.19,914.0,15.23,26080,5242,8742783.0,2373966.0,295756.0,True,87.53,14.61,70.03,5.86,100.25,True,12,156343.0,1000.0,74007007.0,1025094.0,17.36,80.65,1239249.0,5.07,0.96,22,52.13
V22009,Village_2009,District_15,Karnataka,10.602546,88.655982,55.84,5.29,2395.0,12.18,28.5,211.0,28.72,16783,3893,10017175.0,2946716.0,787091.0,True,82.3,22.53,60.55,2.36,28.49,True,9,38915.0,1000.0,53038961.0,1574954.0,17.75,81.94,1404148.0,7.59,0.59,21,58.08
V22010,Village_2010,District_22,Telangana,27.580229,95.873538,8.89,6.2,2607.0,15.59,25.33,868.0,24.88,24541,4495,15071829.0,5034199.0,642038.0,True,92.21,18.17,15.21,8.55,83.35,False,19,124812.0,1000.0,67333484.0,2133595.0,21.3,80.21,1933137.0,5.4,0.59,22,64.66
V22011,Village_2011,District_3,Andhra Pradesh,21.474809,74.653622,1.7,5.49,3011.0,33.05,18.75,460.0,58.27,157,32,100326.0,33762.0,10844.0,True,86.13,11.57,71.63,11.02,146.96,True,3,229744.0,83.36,4412891.0,134676.0,16.31,76.01,103542.0,6.73,0.48,21,11.45
V22012,Village_2012,District_5,Telangana,25.314927,85.149078,54.11,5.89,2859.0,18.45,20.66,1397.0,39.2,7747,1758,4987789.0,1879514.0,284115.0,True,79.52,17.41,76.04,12.06,75.23,True,19,118323.0,1000.0,45506039.0,746418.0,22.63,85.27,2074240.0,7.38,0.95,24,63.12
V22013,Village_2013,District_4,Andhra Pradesh,15.851458,74.749678,57.06,5.81,2693.0,7.58,26.15,1007.0,26.12,22218,4182,14448607.0,4475083.0,1548030.0,True,72.65,8.32,44.71,13.22,58.35,False,7,103202.0,1000.0,69509055.0,2319184.0,17.94,79.33,1509034.0,8.16,0.34,24,65.83
V22014,Village_2014,District_29,Karnataka,12.45562,86.017008,27.7,6.0,2835.0,24.04,30.46,216.0,16.6,31253,8046,11207961.0,3665866.0,773032.0,True,66.13,14.94,15.9,11.67,125.98,True,1,173984.0,1000.0,68816927.0,1218932.0,22.02,82.14,1980551.0,6.92,0.74,23,70.11
